RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
1853 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1854 Tribal "Fairly Good" Occasionally "You were not registered to vote" "Increased a lot" "No formal schooling" 
1855 Tribal "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1856 Tribal "Neither good nor bad" Occasionally "You were not registered to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1857 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1858 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1859 Tribal "Very bad" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
1860 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1861 Tribal "Fairly bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1862 Tribal "Fairly Good" Occasionally "You did not vote because your name not in the register" "Increased a lot" "Secondary school / high school completed" 
1863 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1864 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1865 Tribal "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1866 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1867 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1868 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "No formal schooling" 
1869 Tribal "Fairly bad" Never "You voted in the elections" "Increased a lot" "Don't know" 
1870 Tribal "Fairly Good" Never "You voted in the elections" "Decreased somewhat" "Some primary schooling" 
1871 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1872 Tribal "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1873 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1874 Tribal "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1875 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
1876 Tribal "Very good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1877 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
1878 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
1879 Tribal "Fairly Good" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
1880 Tribal "Fairly Good" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1881 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1882 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1883 Urban "Neither good nor bad" Never "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1884 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1885 Urban "Fairly Good" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1886 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
1887 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1888 Urban "Very good" Frequently "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1889 Urban "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1890 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1891 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1892 Tribal "Neither good nor bad" Occasionally "You decided not to vote" "Increased somewhat" "Some primary schooling" 
1893 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1894 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1895 Tribal "Very good" Never "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
1896 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1897 Tribal "Fairly bad" Never "You were too young to vote" "Decreased a lot" Post-graduate 
1898 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1899 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1900 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1901 Urban "Very good" Occasionally "You decided not to vote" "Increased a lot" "Some university" 
1902 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1903 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1904 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1905 Urban "Fairly Good" Occasionally "You were not registered to vote" "Increased somewhat" "Secondary school / high school completed" 
1906 Urban "Neither good nor bad" Frequently "You were too young to vote" "Stayed the same" "Some secondary school / high school" 
1907 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1908 "Rural farm" "Very bad" Occasionally "You could not find the polling station" "Increased a lot" "Primary school completed" 
1909 "Rural farm" "Fairly Good" Never "You voted in the elections" "Decreased a lot" "Post-secondary qualifications, other than university" 
1910 "Rural farm" "Fairly Good" Frequently "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
1911 "Rural farm" "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1912 "Rural farm" "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1913 "Rural farm" "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1914 "Rural farm" "Very bad" Never "You voted in the elections" "Decreased a lot" "Some secondary school / high school" 
1915 Tribal "Very good" Never "You did not vote because your name not in the register" "Increased a lot" "Some secondary school / high school" 
1916 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1917 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1918 Tribal "Neither good nor bad" Never "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
1919 Urban "Fairly Good" Frequently "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
1920 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1921 Urban "Fairly Good" Frequently "Don't Know / Can't remember" "Increased somewhat" "Secondary school / high school completed" 
1922 Urban "Neither good nor bad" Occasionally "You could not find the polling station" "Increased somewhat" "Some secondary school / high school" 
1923 Tribal "Fairly Good" Occasionally "You decided not to vote" "Stayed the same" "Some university" 
1924 Tribal "Neither good nor bad" Occasionally "Did not vote for some other reason" "Increased somewhat" "Secondary school / high school completed" 
1925 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
1926 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1927 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1928 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1929 Urban "Fairly Good" Never "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
1930 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1931 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1932 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1933 Urban "Neither good nor bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1934 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1935 Tribal "Neither good nor bad" Occasionally "You were not registered to vote" "Stayed the same" "No formal schooling" 
1936 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" Post-graduate 
1937 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1938 Tribal "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1939 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1940 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1941 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1942 Urban "Very good" Frequently "You voted in the elections" "Stayed the same" "University completed" 
1943 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" Post-graduate 
1944 Urban "Fairly Good" Occasionally "Don't Know / Can't remember" "Increased somewhat" "Secondary school / high school completed" 
1945 Urban "Very good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1946 Urban "Fairly Good" Never "You were not registered to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1947 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1948 Tribal "Fairly Good" Never "You voted in the elections" "Decreased somewhat" Post-graduate 
1949 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
1950 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1951 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
1952 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1953 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1954 Urban "Fairly Good" Frequently "You voted in the elections" "Decreased a lot" Post-graduate 
1955 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1956 Urban "Very bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
1957 Urban "Fairly Good" Occasionally "You were not registered to vote" "Decreased somewhat" "University completed" 
1958 Urban "Neither good nor bad" Occasionally "You did not have time to vote" "Increased a lot" "Secondary school / high school completed" 
1959 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1960 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1961 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1962 Tribal "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1963 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "University completed" 
1964 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1965 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1966 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "University completed" 
1967 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some primary schooling" 
1968 Tribal "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1969 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1970 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1971 Tribal "Very bad" Never "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
1972 Tribal "Fairly Good" Frequently "You decided not to vote" "Increased somewhat" "Secondary school / high school completed" 
1973 Tribal "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
1974 Tribal "Very bad" Never "You decided not to vote" "Increased somewhat" "Some secondary school / high school" 
1975 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some university" 
1976 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
1977 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1978 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1979 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1980 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1981 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
1982 Tribal "Fairly Good" Frequently "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1983 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1984 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" Post-graduate 
1985 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" Post-graduate 
1986 "Rural farm" "Fairly Good" Frequently "You voted in the elections" "Don't know" "University completed" 
1987 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1988 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
1989 Tribal "Very bad" Never "You decided not to vote" "Increased a lot" "Primary school completed" 
1990 Tribal "Very bad" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
1991 Urban "Very bad" Frequently "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
1992 Urban "Neither good nor bad" Frequently "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
1993 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1994 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" Post-graduate 
1995 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
1996 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
1997 Tribal "Fairly Good" Occasionally "Don't Know / Can't remember" "Increased a lot" "Some university" 
1998 Tribal "Very bad" Occasionally "You voted in the elections" "Decreased somewhat" "Post-secondary qualifications, other than university" 
1999 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2000 Tribal "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
2001 Tribal "Very good" Frequently "You voted in the elections" "Increased somewhat" "University completed" 
2002 Tribal "Neither good nor bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
2003 Tribal "Fairly bad" Never "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
2004 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2005 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2006 Tribal "Fairly bad" Never "You did not have time to vote" "Increased somewhat" "Secondary school / high school completed" 
2007 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2008 Tribal "Neither good nor bad" Never "You decided not to vote" "Increased somewhat" "Secondary school / high school completed" 
2009 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2010 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2011 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2012 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2013 Urban "Fairly Good" Frequently "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
2014 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
2015 "Rural farm" "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2016 "Rural farm" "Very bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
2017 "Rural farm" "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
2018 "Rural farm" "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2019 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
2020 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2021 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
2022 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Some primary schooling" 
2023 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
2024 Urban "Neither good nor bad" Occasionally "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
2025 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2026 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2027 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
2028 Urban "Don't know" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
2029 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2030 Urban "Very bad" Frequently "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
2031 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2032 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2033 Urban "Very bad" Occasionally "You decided not to vote" "Increased somewhat" "Secondary school / high school completed" 
2034 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Primary school completed" 
2035 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some primary schooling" 
2036 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2037 Urban "Fairly Good" Occasionally "You were not registered to vote" "Stayed the same" "Some secondary school / high school" 
2038 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2039 Urban "Fairly bad" Never "You did not have time to vote" "Increased somewhat" "Some secondary school / high school" 
2040 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
2041 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2042 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2043 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2044 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2045 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2046 Urban "Fairly Good" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
2047 Urban "Fairly Good" Frequently "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
2048 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
2049 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2050 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2051 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
2052 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2053 Urban "Neither good nor bad" Occasionally "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
2054 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
2055 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Inside the house"       
2056 Urban "Very good" Never "You voted in the elections" "Decreased somewhat" "Primary school completed" 
2057 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased somewhat" "Primary school completed" 
2058 Urban "Neither good nor bad" Frequently "You voted in the elections" "Don't know" "Some secondary school / high school" 
2059 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2060 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2061 Urban "Very good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
2062 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
2063 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Primary school completed" 
2064 Urban "Fairly bad" Occasionally "You were not registered to vote" "Stayed the same" "Some secondary school / high school" 
2065 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2066 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Inside the house"       
2067 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2068 Urban "Neither good nor bad" Never "You were not registered to vote" "Stayed the same" "Some primary schooling" 
2069 Urban "Fairly Good" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
2070 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some university" 
2071 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Inside the house"       
2072 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "University completed" 
2073 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" Post-graduate 
2074 Urban "Very bad" Frequently "You decided not to vote" "Increased somewhat" Post-graduate 
2075 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2076 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2077 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2078 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2079 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2080 "Rural farm" "Fairly Good" Occasionally "Did not vote for some other reason" "Increased a lot" "Primary school completed" 
2081 "Rural farm" "Fairly Good" Never "You were not registered to vote" "Stayed the same" "Primary school completed" 
2082 "Rural farm" "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2083 "Rural farm" "Very bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2084 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "University completed" 
2085 Urban "Very bad" Frequently "You were not registered to vote" "Increased a lot" Post-graduate 
2086 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2087 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2088 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
2089 Urban "Fairly bad" Occasionally "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
2090 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2091 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2092 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
2093 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some university" 
2094 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2095 Urban "Fairly bad" Occasionally "You were too young to vote" "Increased somewhat" "Some secondary school / high school" 
2096 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
2097 Urban "Very bad" Frequently "You voted in the elections" "Stayed the same" Post-graduate 
2098 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2099 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
2100 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2101 Urban "Fairly Good" Frequently "You decided not to vote" "Stayed the same" "Some secondary school / high school" 
2102 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2103 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2104 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
2105 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2106 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2107 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2108 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
2109 Urban "Fairly bad" Never "You decided not to vote" "Increased somewhat" "Secondary school / high school completed" 
2110 Urban "Fairly Good" Frequently "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
2111 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Inside the house"       
2112 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
2113 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2114 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Primary school completed" 
2115 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2116 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2117 Urban "Neither good nor bad" Never "You did not have time to vote" "Increased somewhat" "Secondary school / high school completed" 
2118 Urban "Neither good nor bad" Occasionally "You did not have time to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
2119 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
2120 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2121 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2122 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "University completed" 
2123 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2124 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
2125 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2126 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2127 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
2128 Urban "Neither good nor bad" Frequently "You were not registered to vote" "Increased a lot" "University completed" 
2129 Urban "Very bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
2130 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2131 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2132 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Some primary schooling" 
2133 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
2134 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
2135 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2136 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
2137 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
